,0
998054348,3
998055127,3
998064171,2
998065929,0
998066338,0
998076605,0
998092808,4
998096540,3
998102942,4
998107578,1
998119206,0
998131465,3
998137141,3
998148887,0
998151222,0
998161544,0
998174021,0
998187511,4
998243915,0
998259218,4
998262791,0
998274066,1
998287827,1
998292303,1
998296556,0
998309549,3
998319465,3
998336924,1
998340194,1
998345889,0
998357180,1
998358187,0
998359513,3
998362633,0
998375529,4
998380663,1
998380897,0
998384229,2
998389963,4
998392518,3
998410650,0
998412792,0
998429306,4
998430009,0
998435580,3
998436626,4
998440156,1
998441533,3
998443719,0
998448289,0
998449907,2
998454478,3
998460646,0
998462517,0
998464535,4
998478356,3
998479891,0
998489245,1
998491349,0
998502681,3
998517452,0
998519825,1
998522477,2
998527927,0
998529966,0
998537526,4
998537754,3
998543902,4
998547246,0
998547659,0
998555021,3
998566959,3
998567685,4
998585179,3
998585570,0
998585939,0
998586220,3
998592856,4
998594064,0
998602260,3
998609635,0
998614581,3
998616784,4
998620277,1
998621855,0
998622135,1
998622251,3
998626757,4
998635735,0
998640722,3
998649363,3
998650112,3
998651456,3
998657901,3
998659826,0
998662947,3
998663153,3
998663524,0
998672791,1
998674190,0
998679318,0
998679885,4
998679936,0
998685908,3
998686152,4
998705275,0
998712985,4
998718520,1
998726758,0
998737006,0
998737930,0
998739086,0
998744361,1
998746298,3
998751729,0
998753104,3
998756938,0
998757427,1
998763564,0
998764840,0
998766677,0
998771143,2
998772428,1
998773996,4
998789848,0
998790940,4
998792658,2
998795664,0
998796182,4
998801776,3
998802394,0
998802531,4
998802574,0
998814398,3
998814622,1
998815139,3
998826037,0
998828419,3
998830957,4
998840592,4
998844945,0
998847534,1
998849316,3
998850824,3
998854322,0
998856607,0
998864414,4
998868832,4
998877820,0
998882573,4
998883737,1
998884722,0
998888238,0
998889868,0
998892988,4
998894838,0
998894922,1
998896807,0
998898433,1
998902311,3
998906127,1
998908579,4
998908604,0
998913051,1
998914922,2
998916581,4
998921430,2
998925458,1
998927418,0
998934219,3
998934774,4
998936423,2
998940036,0
998943019,4
998943332,0
998943817,2
998944200,4
998944471,0
998944687,0
998946085,0
998949870,0
998955080,3
998956037,3
998956671,3
998957535,2
998966788,0
998968526,4
998968609,0
998970046,3
998973792,4
998984971,0
998986200,0
