爬取时间,video_aid,标题,up_name,up_id,硬币数,弹幕数,点踩数,收藏数,点赞数,评论数,分享数,播放数
1677247669.376395,351960242,不要做“新年计划”，做“新年总结”,崔璀CC,524500054,7,1,0,24,37,2,0,458
1677247672.666419,309470377,从0开始上岸体制内，考公/考编小白必看！,粉笔事业单位,495275088,2,0,0,7,4,1,0,241
1677247740.5848453,821940601,500强面试必看：外企的压力面试，到底有多奇葩？,纽约星姐_毛小星,27744027,89,12,0,602,1662,30,17,21959
1677247754.9945104,906982685,有这四个行为，就有当领导的潜质,闪闪发光的老高,1663915898,50,4,0,238,397,50,29,11103
1677247807.7898161,779477186,测量员软件教程之点测量界面教程,测量员之家,330432767,2,0,0,7,20,1,1,1224
1677247838.3499362,224421269,屠屠老湿S686发射！,屠屠老湿TaxiWay,504010939,538,146,0,396,11070,292,43,143070
1677247862.8464172,266919893,【公务员遴选笔试热点】各地开年第一会有哪些重大考点,公选王-遴选翰林院,471911317,4,0,0,7,14,0,1,290
1677247904.4829142,309426533,数据透视表太厉害了，环比/同比均能轻松拿捏！,运营菌Excel,349381768,66,2,0,752,276,3,62,4935
1677248063.1266222,481998682,2.16、刚毕业工作选择可大公司学架构,恒洋底层思维,1453074675,2,0,0,48,62,1,6,1390
1677248088.6286378,821942069,十年设计老师傅教你提高绘图效率,CAD小夜老师,1163830874,0,0,0,15,9,2,0,370
1677248117.1346965,906915301,假如你有一位同事比较善于在各种场合向领导汇报工作，夸大事实。最近一段时间，常常是你做的工作，他去汇报受到表扬。对此，你怎么办？,金标尺面试观,1736468798,0,0,0,7,9,1,2,256
1677248282.810848,864497477,开年第一课|公考重要考点之中国式现代化！一篇搞懂，学起来，用起来！,公考专家陈明哲,236538040,42,1,0,300,230,53,18,3070
1677248295.1460445,224455691,Blender中制作圆形拉伸特效,Blender最新教学站,350629248,0,0,0,6,1,0,0,60
1677249072.2510817,309472419,高额亏损 转卖公司 三十而立 从新开始，“落魄总裁”开年纪,贝拉Bellawong,342928065,210,108,0,209,541,54,29,14592
1677249126.064398,694410371,企业开始不招聘30岁以上的人了,逸风一名,1046328534,2,20,0,27,107,96,26,5988
1677249237.311602,779410314,想要不普通    就不要做普通的事！,恒洋底层思维,1453074675,4,1,0,22,28,1,2,434
1677249304.2352335,351701282,这道题目你怎么答？在工作和生活中既要体察他人的情绪，也要学会控制自己的情绪，你怎么看？公务员面试示范答题，一起学起来,导氮公考,262503639,0,0,0,1,1,0,0,31
